#     _____   ______   ______   _____   _   _   ______   _  __      __          __  _    _   _____   _______   ______   _        _____    _____   _______
#    / ____| |  ____| |  ____| |_   _| | \ | | |  ____| | |/ /      \ \        / / | |  | | |_   _| |__   __| |  ____| | |      |_   _|  / ____| |__   __|
#   | (___   | |__    | |__      | |   |  \| | | |__    | ' /        \ \  /\  / /  | |__| |   | |      | |    | |__    | |        | |   | (___      | |
#    \___ \  |  __|   |  __|     | |   | . ` | |  __|   |  <          \ \/  \/ /   |  __  |   | |      | |    |  __|   | |        | |    \___ \     | |
#    ____) | | |____  | |       _| |_  | |\  | | |____  | . \          \  /\  /    | |  | |  _| |_     | |    | |____  | |____   _| |_   ____) |    | |
#   |_____/  |______| |_|      |_____| |_| \_| |______| |_|\_\          \/  \/     |_|  |_| |_____|    |_|    |______| |______| |_____| |_____/     |_|
#
#                   This file belongs to Sefinek's Blocklist Collection, which is curated and maintained by: github.com/sefinek
#
#  In case of encountering false positives, we encourage adding such exceptions to the whitelist.
#  To ensure a smooth and efficient process, adherence to the required format when submitting a Pull Request is mandatory.
#  The format necessitates including the domain name followed by the path to the file where the false positive was detected.
#
# - Example:
#   # Spotify (music streaming)
#   open.spotify.com apps/discord.txt
#
# Author            : Sefinek (https://sefinek.net) <contact@sefinek.net>
# License           : GNU General Public License v3.0
# GitHub repository : https://github.com/sefinek/Sefinek-Blocklist-Collection
# -----------------------------------------------------------------------------------------------------------------------------------------------------------------

# Discord (chat)
s8802.chomikuj.pl abuse/blocklistproject/hosts.fork.txt
s8802.chomikuj.pl malicious/blocklistproject/malware.fork.txt

# Zapier (automation tool)
email.mail.zapier.com ads/jerryn70/GoodbyeAds.fork.txt
email.mail.zapier.com malicious/RPiList/Malware.fork.txt

# Wordpress (blogging platform) & Gravatar (avatar service)
s0.wp.com porn/4skinSkywalker/hosts.fork.txt

# Sirus (Private server of World of Warcraft)
sirus.su abuse/blocklistproject/hosts.fork.txt
sirus.su malicious/blocklistproject/malware.fork.txt
www.sirus.su abuse/blocklistproject/hosts.fork.txt
www.sirus.su malicious/blocklistproject/malware.fork.txt

# Customer.io (email service)
e.customeriomail.com ads/jerryn70/GoodbyeAds.fork.txt
e.customeriomail.com malicious/RPiList/Malware.fork.txt

# MyWOT (Web of Trust)
mywot.com other/StevenBlack/fakenews-gambling-porn.fork.txt
mywot.com porn/4skinSkywalker/hosts.fork.txt
www.mywot.com other/StevenBlack/fakenews-gambling-porn.fork.txt
www.mywot.com porn/4skinSkywalker/hosts.fork.txt

# IPQualityScore (IP address lookup service)
ipqualityscore.com ads/blocklistproject/hosts.fork.txt
www.ipqualityscore.com ads/blocklistproject/hosts.fork.txt

# IPify (IP address lookup service)
api.ipify.org ads/blocklistproject/hosts.fork.txt
ipify.org ads/blocklistproject/hosts.fork.txt
www.ipify.org ads/blocklistproject/hosts.fork.txt

# Semrush
semrush.com ads/blocklistproject/hosts.fork.txt
www.semrush.com ads/blocklistproject/hosts.fork.txt

# 9gag.com
9gag.com porn/4skinSkywalker/hosts.fork.txt
www.9gag.com porn/4skinSkywalker/hosts.fork.txt

# X (social media platform formerly known as Twitter)
ton.twimg.com ads/ShadowWhisperer/Ads.fork.txt
pbs.twimg.com porn/4skinSkywalker/hosts.fork.txt
video.twimg.com porn/4skinSkywalker/hosts.fork.txt
t.co ads/yoyo/ads-trackers-etc.fork.txt

# Patreon
email.mailgun.patreon.com ads/jerryn70/GoodbyeAds.fork.txt
c6.patreon.com ads/ShadowWhisperer/Ads.fork.txt

# DiscordServers
discordservers.com phishing/Dogino/Discord-Phishing-URLs-phishing.fork.txt
discordservers.com scam/Dogino/Discord-Phishing-URLs-scam.fork.txt

# Chat
embed.tawk.to ads/blocklistproject/hosts.fork.txt
va.tawk.to abuse/blocklistproject/hosts.fork.txt
va.tawk.to ads/blocklistproject/hosts.fork.txt
va.tawk.to malicious/blocklistproject/malware.fork.txt

# Samsung (Blocking these subdomains prevents adding a Samsung refrigerator to the SmartThings app)
eu-auth2.samsungosp.com tracking-and-telemetry/ente-dev/tv.fork.txt
ocfconnect-shard-eu02-euwest1.samsungiotcloud.com tracking-and-telemetry/ente-dev/tv.fork.txt

# Sporting goods store in Canada
sportinglife.ca fraud/blocklistproject/hosts.fork.txt
www.sportinglife.ca fraud/blocklistproject/hosts.fork.txt

# nicovideo.jp (https://github.com/sefinek/Sefinek-Blocklist-Collection/issues/81)
www.nicovideo.jp porn/StevenBlack/porn.fork.txt
www.nicovideo.jp porn/Sinfonietta/pornography-hosts.fork.txt
www.nicovideo.jp porn/oisd/nsfw.fork.txt

# keepersecurity.com
keepersecurity.com porn/4skinSkywalker/hosts.fork.txt
www.keepersecurity.com porn/4skinSkywalker/hosts.fork.txt

# o2.pl (Polish mail service)
poczta.o2.pl porn/StevenBlack/porn.fork.txt
poczta.o2.pl porn/Sinfonietta/pornography-hosts.fork.txt

# vk.com (https://github.com/sefinek/Sefinek-Blocklist-Collection/issues/84)
m.vk.com porn/StevenBlack/porn.fork.txt
m.vk.com porn/Sinfonietta/pornography-hosts.fork.txt
vk.com porn/4skinSkywalker/hosts.fork.txt

# albahost.net
albahost.net malicious/blocklistproject/malware.fork.txt
albahost.net abuse/blocklistproject/hosts.fork.txt

# shipspotting.com
shipspotting.com malicious/blocklistproject/malware.fork.txt
shipspotting.com abuse/blocklistproject/hosts.fork.txt

# Counter-Strike (game)
counter-strike.net phishing/Dogino/Discord-Phishing-URLs-phishing.fork.txt
counter-strike.net scam/Dogino/Discord-Phishing-URLs-scam.fork.txt

# Other
my.plexapp.com ads/blocklistproject/hosts.fork.txt
firstmail.ltd spam/stopforumspam/toxic-domains-whole.fork.txt
secure.livechatinc.com gambling/TrustPositif/gambling-indonesia.fork.txt
ahrefs.com tracking-and-telemetry/neodevpro/host.fork.txt
bitbucket.io ads/blocklistproject/hosts.fork.txt
wcpstatic.microsoft.com ads/ShadowWhisperer/Ads.fork.txt
eveninsight.com gambling/TrustPositif/gambling-indonesia.fork.txt
buffer-media-uploads.s3.amazonaws.com phishing/blocklistproject/phishing.fork.txt
referrals.brave.com ads/firebog/Prigent-Ads.fork.txt
wykop.pl porn/oisd/nsfw.fork.txt
whatismyip.akamai.com ads/blocklistproject/hosts.fork.txt
ip2location.com ads/blocklistproject/hosts.fork.txt
api.sec.intl.miui.com ads/blocklistproject/hosts.fork.txt
arquivo.pt phishing/blocklistproject/phishing.fork.txt
scholar.google.com ads/jerryn70/GoodbyeAds.fork.txt
api.hh.ru ads/blocklistproject/hosts.fork.txt
go.fossa.com malicious/RPiList/Malware.fork.txt
email-link.adtidy.org ads/yoyo/ads-trackers-etc.fork.txt
webparanoid.com gambling/TrustPositif/gambling-indonesia.fork.txt
cdn.cookielaw.org other/polish-blocklists/MajkiIT/hostfile.fork.txt
postimg.cc gambling/TrustPositif/gambling-indonesia.fork.txt
i.ibb.co gambling/TrustPositif/gambling-indonesia.fork.txt
storage-asset.msi.com gambling/TrustPositif/gambling-indonesia.fork.txt
gethatch.com ads/ShadowWhisperer/Ads.fork.txt
pixalate.com ads/ShadowWhisperer/Ads.fork.txt
2ip.io malicious/RPiList/Malware.fork.txt
cedexis.net ads/ShadowWhisperer/Ads.fork.txt
mailgun.org malicious/RPiList/Malware.fork.txt
learn.cisecurity.org tracking-and-telemetry/frogeye/firstparty-trackers-hosts.txt
americangirl.com porn/blocklistproject/porn.fork.txt
americangirl.com porn/chadmayfield/pi-blocklist-porn-all.fork.txt
irongeek.com malicious/blocklistproject/malware.fork.txt
www.irongeek.com malicious/blocklistproject/malware.fork.txt
irongeek.com abuse/blocklistproject/hosts.fork.txt
www.irongeek.com abuse/blocklistproject/hosts.fork.txt
swiftmail.cc scam/jarelllama/scam.fork.txt
cdn.ziffstatic.com ads/blocklistproject/hosts.fork.txt

# driftt.com
driftt.com ads/firebog/AdguardDNS.fork.txt
driftt.com tracking-and-telemetry/quidsup/trackers-hosts.fork.txt
driftt.com extensions/MajkiIT/adguard-host.fork.txt

# cloudfront.net
cloudfront.net phishing/Dogino/Discord-Phishing-URLs-phishing.fork.txt
cloudfront.net scam/Dogino/Discord-Phishing-URLs-scam.fork.txt

# filmweb.pl
filmweb.pl porn/4skinSkywalker/hosts.fork.txt
www.filmweb.pl porn/4skinSkywalker/hosts.fork.txt
fwcdn.pl scam/jarelllama/scam.fork.txt

# AI
huggingface.co malicious/RPiList/Malware.fork.txt

# prepmymeal.com
prepmymeal.com spam/RPiList/spam-mails.fork.txt

# jdownloader.org
jdownloader.org porn/4skinSkywalker/hosts.fork.txt

# mydealz.digidip.net
mydealz.digidip.net ads/firebog/Prigent-Ads.fork.txt

# nsfwjs.com
nsfwjs.com porn/oisd/nsfw.fork.txt

# googleusercontent.com
lh7-rt.googleusercontent.com spam/RPiList/spam-mails.fork.txt
